Character,Line,Line Number
MR,MONTFORD,0
MRS,MARCHMONT,1
MRS,CHEVELEY,2
MRS,CHEVELEY Indeed?  I have forgotten all about my schooldays.  I have a vague impression that they were detestable.,38
MRS,"CHEVELEY I thought your frock so charming last night, Miss Chiltern.  So simple and . . . suitable.",548
MRS,"CHEVELEY No, lady Markby—a ruby.",572
MRS,CHEVELEY I have never read a Blue Book.  I prefer books . . . in yellow covers.,586
MRS,"CHEVELEY I don’t mind waiting in the carriage at all, provided there is somebody to look at one.",600
MRS,CHEVELEY Really?,609
MRS,CHEVELEY Then life has taught you nothing?,613
MRS,"CHEVELEY Do you know, Gertrude, I don’t mind your talking morality a bit.  Morality is simply the attitude we adopt towards people whom we personally dislike.  You dislike me.  I am quite aware of that.  And I have always detested you.  And yet I have come here to do you a service.",619
MRS,CHEVELEY In this world like meets with like.  It is because your husband is himself fraudulent and dishonest that we pair so well together.  Between you and him there are chasms.  He and I are closer than friends.  We are enemies linked together.  The same sin binds us.,627
MRS. MARCHMONT,"Going on to the Hartlocks’ to-night, Margaret?",3
MRS. MARCHMONT,"Yes.  Horribly tedious parties they give, don’t they?",5
MRS. MARCHMONT,I come here to be educated.,7
MRS. MARCHMONT,"So do I.  It puts one almost on a level with the commercial classes, doesn’t it?  But dear Gertrude Chiltern is always telling me that I should have some serious purpose in life.  So I come here to try to find one.",9
MRS. MARCHMONT,How very trivial of him!,11
MRS. MARCHMONT,About myself.,13
MRS. MARCHMONT,Not in the smallest degree.,15
MRS. MARCHMONT,"And how well it becomes us, Olivia!",17
MRS. MARCHMONT,Our husbands never appreciate anything in us.  We have to go to others for that!,158
MRS. MARCHMONT,"That is exactly what we can’t stand.  My Reginald is quite hopelessly faultless.  He is really unendurably so, at times! There is not the smallest element of excitement in knowing him.",161
MRS. MARCHMONT,"My poor Olivia! We have married perfect husbands, and we are well punished for it.",164
MRS. MARCHMONT,"Oh, dear no!  They are as happy as possible!  And as for trusting us, it is tragic how much they trust us.",166
MRS. MARCHMONT,"I am afraid Lord Goring is in the camp of the enemy, as usual.  I saw him talking to that Mrs. Cheveley when he came in.",170
MRS. MARCHMONT,"Well, we are not going to praise her.  I hear she went to the Opera on Monday night, and told Tommy Rufford at supper that, as far as she could see, London Society was entirely made up of dowdies and dandies.",174
MRS. MARCHMONT,Oh! do you really think that is what Mrs. Cheveley meant?,176
MRS. MARCHMONT,"I like looking at geniuses, and listening to beautiful people.",180
MRS. MARCHMONT,"I am so glad to hear you say that.  Marchmont and I have been married for seven years, and he has never once told me that I was morbid.  Men are so painfully unobservant!",182
MRS. MARCHMONT,"Ah! but you are always sympathetic, Olivia!",184
MRS. MARCHMONT,"Olivia, I have a curious feeling of absolute faintness. I think I should like some supper very much.  I know I should like some supper.",192
MRS. MARCHMONT,"Men are so horribly selfish, they never think of these things.",194
MRS. MARCHMONT,"Thank you, Mr. Montford, I never touch supper.  But I will sit beside you, and watch you.",201
MRS. MARCHMONT,Then I will watch some one else.,203
MRS. MARCHMONT,"Pray, Mr. Montford, do not make these painful scenes of jealousy in public!",205
LADY BASILDON,I suppose so.  Are you?,4
LADY BASILDON,Horribly tedious!  Never know why I go.  Never know why I go anywhere.,6
LADY BASILDON,Ah! I hate being educated!,8
LADY BASILDON,I don’t see anybody here to-night whom one could possibly call a serious purpose. The man who took me in to dinner talked to me about his wife the whole time.,10
LADY BASILDON,Terribly trivial!  What did your man talk about?,12
LADY BASILDON,And were you interested?,14
LADY BASILDON,"What martyrs we are, dear Margaret!",16
LADY BASILDON,Are you here?  I had no idea you ever came to political parties!,151
LADY BASILDON,I delight in talking politics.  I talk them all day long. But I can’t bear listening to them.  I don’t know how the unfortunate men in the House stand these long debates.,153
LADY BASILDON,Really?,155
LADY BASILDON,"Ah! that accounts for so much in men that I have never understood, and so much in women that their husbands never appreciate in them!",157
LADY BASILDON,"Yes, always to others, have we not?",159
LADY BASILDON,Basildon is quite as bad; he is as domestic as if he was a bachelor.,163
LADY BASILDON,Perfectly tragic!,167
LADY BASILDON,"Certainly not comic, Lord Goring.  How unkind of you to suggest such a thing!",169
LADY BASILDON,Please don’t praise other women in our presence.  You might wait for us to do that!,172
LADY BASILDON,What a horrid combination!  So very unnatural!,179
LADY BASILDON,"I have always said, dear Margaret, that you were the most morbid person in London.",183
LADY BASILDON,"I am positively dying for supper, Margaret!",193
LADY BASILDON,"Men are grossly material, grossly material!",195
LADY BASILDON,"I never take supper, thank you, Vicomte. But I will come down with you with pleasure.",197
